*本資料庫所列數值單位均為每100 g可食部分之含量。,,,,,,,,,,,
整合編號,食品分類,樣品名稱,內容物描述,俗名,廢棄率(%),熱量(kcal),粗蛋白(g),粗脂肪(g),飽和脂肪(g),總碳水化合物(g),反式脂肪(mg)
J04024,魚貝類,大西洋鮭魚平均值(去皮),"樣品狀態:生; 前處理描述:去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎",,25,221,20.2,14.9,4,0,
J0402401,魚貝類,大西洋鮭魚(台灣養殖),"樣品狀態:生; 前處理描述:去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎",,56,155,23.6,6,1.7,0,
J0402402,魚貝類,大西洋鮭魚切片(中段),"樣品狀態:生; 前處理描述:去皮及骨刺,混合均勻打碎",,22,174,20.7,9.5,2.6,0,
J0402403,魚貝類,大西洋鮭魚切片(尾段),"樣品狀態:生; 前處理描述:去皮及骨刺,混合均勻打碎",,17,204,20.7,12.8,3.7,0,
J0402404,魚貝類,大西洋鮭魚生魚片,樣品狀態:生; 前處理描述:混合均勻打碎,,,222,19.6,15.3,4.1,0,
J0402405,魚貝類,大西洋鮭魚腹肉,"樣品狀態:生,腹部肉; 前處理描述:去皮及骨刺,混合均勻打碎",,18,349,16.4,31,7.9,0,
J0402501,魚貝類,麥奇鈎吻鮭(去皮),"樣品狀態:生; 前處理描述:去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎","鱒魚,虹鱒,麥奇鉤吻鱒",51,160,20.9,7.8,2.4,0,
J0402601,魚貝類,麥奇鈎吻鮭(含皮),"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎","鱒魚,虹鱒,麥奇鉤吻鱒",45,147,20.1,6.8,2.2,0.4,
J0402701,魚貝類,姬魚,"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎","仙女魚,狗母,汕狗母",65,104,24.1,0.2,0,0,
J0402801,魚貝類,印度鐮齒魚,"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎","水狗母,粉粘,那哥,那個魚",49,49,10.4,0.5,0.1,0.4,
J0402901,魚貝類,狗母魚(蛇鯔),"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎","狗母梭,狗母",56,103,20.8,1.6,0.6,0.1,
J0403001,魚貝類,鮟鱇,"樣品狀態:生; 前處理描述:去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎",,71,68,14.9,0.5,0.2,0.6,
J04031,魚貝類,鯔平均值(去皮),"樣品狀態:生(不含魚卵); 前處理描述:去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎","烏(鯔/信/聖)魚,青頭仔(幼魚),奇目仔(成魚),正(大)烏,正(回)頭烏,日本鯔",51,152,20.6,7.1,2.3,0.3,
J0403101,魚貝類,鯔(2月),"樣品狀態:生(不含魚卵); 前處理描述:去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎","青頭仔(幼魚),奇目仔(成魚),信魚,正烏,烏魚,正頭烏,回頭烏,大烏(澎湖) ",57,137,20.4,5.5,2.1,1.6,
J0403102,魚貝類,鯔(4月),"樣品狀態:生(不含魚卵); 前處理描述:去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎","青頭仔(幼魚),奇目仔(成魚),信魚,正烏,烏魚,正頭烏,回頭烏,大烏(澎湖)",56,133,20.4,5,1.6,0.9,
J0403103,魚貝類,鯔(8月),"樣品狀態:生(已去鱗及內臟,不含魚卵); 前處理描述:去皮,去頭尾及骨刺,混合均勻打碎","青頭仔(幼魚),奇目仔(成魚),信魚,正烏,烏魚,正頭烏,回頭烏,大烏(澎湖)",33,224,17.3,16.7,5.8,0,
J0403104,魚貝類,"鯔(11月,雄魚)","樣品狀態:生(不含魚精囊); 前處理描述:去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎","青頭仔(幼魚),奇目仔(成魚),信魚,正烏,烏魚,正頭烏,回頭烏,大烏(澎湖)",62,129,21.3,4.2,1.4,0,
J0403105,魚貝類,"鯔(11月,雌魚)","樣品狀態:生(不含魚卵); 前處理描述:去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎","青頭仔(幼魚),奇目仔(成魚),信魚,正烏,烏魚,正頭烏,回頭烏,大烏(澎湖)",53,141,21.5,5.5,1.8,0,
J0403106,魚貝類,"鯔(12月,雄魚)","樣品狀態:生(不含魚精囊); 前處理描述:去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎","青頭仔(幼魚),奇目仔(成魚),信魚,正烏,烏魚,正頭烏,回頭烏,大烏(澎湖)",55,137,21.1,5.2,1.9,0.9,
J0403107,魚貝類,"鯔(12月,雌魚)","樣品狀態:生(不含魚卵); 前處理描述:去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎","青頭仔(幼魚),奇目仔(成魚),信魚,正烏,烏魚,正頭烏,回頭烏,大烏(澎湖)",41,149,21.8,6.2,1.8,0.2,
J0403108,魚貝類,鯔切片,"樣品狀態:生,冷凍包裝; 前處理描述:去皮,混合均勻打碎","青頭仔(幼魚),奇目仔(成魚),信魚,正烏,烏魚,正頭烏,回頭烏,大烏(澎湖)",,170,21.2,8.8,2.4,0,
J0403201,魚貝類,鯔(含皮),"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎","青頭仔(幼魚),奇目仔(成魚),信魚,正烏,烏魚,正頭烏,回頭烏,大烏(澎湖)",60,155,20.6,7.4,2.6,0,
J0403301,魚貝類,斑鰭飛魚,"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎","小烏,飛烏,花烏(澎湖)",40,94,22,0.1,0,0.2,
J0403401,魚貝類,斑鱵,"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎","補網師,水針,莎優莉,簪針(澎湖),七星針(南部)",48,91,20.6,0.3,0.1,0.3,
J0403501,魚貝類,鱷形叉尾鶴鱵,"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎","青旗,學仔,白天青旗,圓學(澎湖)",47,98,22.4,0.3,0.1,0.2,
J0403601,魚貝類,金鱗魚,"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎",,56,85,19.5,0.2,0.1,1.3,
J0403701,魚貝類,鱗馬鞭魚,"樣品狀態:生; 前處理描述:去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎","馬鞭魚,馬戍,槍管,火管,剃仔,土管(臺東) ",72,84,18.5,0.5,0.2,0,
J0403801,魚貝類,黃鱔,"樣品狀態:生; 前處理描述:去頭及腸管內臟,混合均勻打碎","鱔魚,田鱔,田鰻,長魚,血魚,羅魚,無鱗公子",24,88,17.6,1.4,0.4,1,
J0403901,魚貝類,石狗公,"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎","石頭魚,獅甕(澎湖),紅鱠仔",70,80,18.3,0.2,0,0,
J0404001,魚貝類,環紋簑鮋,"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎","龍鬚簑鮋,獅子魚,長獅,魔鬼,國公,石狗敢,虎魚,雞公,紅虎,火烘,石頭魚",66,79,18.4,0.1,0,0,
J0404101,魚貝類,深海鱗角魚,"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎","深海角魚,雞角,角仔魚",78,80,17.7,0.5,0.2,0,
J0404201,魚貝類,尖嘴鱸(去皮),"樣品狀態:生(已去鱗及內臟); 前處理描述:去皮,去頭尾及骨刺,混合均勻打碎","金目鱸,盲槽,扁紅目鱸",47,98,20.6,1.2,0.3,0.1,
J0404301,魚貝類,尖嘴鱸(含皮),"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎","金目鱸,盲槽,扁紅目鱸",50,107,19.6,2.6,1,0,
J04044,魚貝類,日本花鱸平均值,"樣品狀態:生; 前處理描述:去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎","七星鱸,花鱸,青鱸,鱸魚,日本真鱸 ",60,98,19.9,1.5,0.4,0.9,
J0404401,魚貝類,日本花鱸(2月),"樣品狀態:生; 前處理描述:去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎","七星鱸,花鱸,青鱸,鱸魚,日本真鱸 ",63,95,20.1,1,0.3,1.9,
J0404402,魚貝類,日本花鱸((3月),"樣品狀態:生; 前處理描述:去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎","七星鱸,花鱸,青鱸,鱸魚,日本真鱸 ",58,100,20,1.6,0.5,0.5,
J0404403,魚貝類,日本花鱸((8月),"樣品狀態:生; 前處理描述:去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎","七星鱸,花鱸,青鱸,鱸魚,日本真鱸 ",63,95,19,1.6,0.5,1.5,
J0404404,魚貝類,日本花鱸((11月),"樣品狀態:生; 前處理描述:去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎","七星鱸,花鱸,青鱸,鱸魚,日本真鱸 ",60,99,20.5,1.3,0.4,0.1,
J0404405,魚貝類,日本花鱸((12月),"樣品狀態:生; 前處理描述:去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎","七星鱸,花鱸,青鱸,鱸魚,日本真鱸 ",57,101,19.6,1.9,0.5,0.4,
J0404501,魚貝類,日本花鱸(含皮),"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎","七星鱸,花鱸,青鱸,鱸魚,日本真鱸 ",50,111,19.2,3.2,1.1,0.8,10
J0404601,魚貝類,白鱸,"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎",,63,76,17.7,0.1,0,1,
J0404701,魚貝類,條紋狼鱸,"樣品狀態:生,已去鱗及內臟; 前處理描述:去皮,去頭尾及骨刺,混合均勻打碎",,52,147,21.4,6.2,1.6,0,
J0404801,魚貝類,鱖,"樣品狀態:生; 前處理描述:去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎",,64,89,17.7,1.5,0.5,0,
J0404901,魚貝類,白緣星鱠,"樣品狀態:生; 前處理描述:去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎","闊嘴格仔,鱠,過魚,石斑,紅朱鱠(臺東),粉條(澎湖)",51,101,19.9,1.8,0.8,0,
J04050,魚貝類,青星九刺鮨平均值,"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合不同部位","紅鱠(條/格),七星斑,紅格仔,過(鯌/髻/郭)魚,石斑,條舅,青星九棘鱸,仔石斑,夕鱠",62,94,20.9,0.5,0.2,0,
J0405001,魚貝類,青星九刺鮨,"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎","紅鱠,紅格仔,過魚,石斑,條舅,紅條,鱠仔(臺東) ",62,83,19.3,0.1,0,0.5,
J0405002,魚貝類,青星九刺鮨魚片,樣品狀態:生; 前處理描述:混合均勻打碎,"紅鱠,紅格仔,過魚,石斑,條舅,紅條,鱠仔(臺東) ",,104,22.6,0.8,0.4,0,
J0405101,魚貝類,斑帶石斑魚,"樣品狀態:生,已去鱗及內臟; 前處理描述:去頭尾,骨刺及魚皮,混合均勻打碎","石斑,過魚,罔仔,竹節鱠,擬青石斑魚",64,90,20.2,0.5,0.2,0,
J0405102,魚貝類,龍虎石斑魚,"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎","龍虎斑,巴龍膽,珍珠龍膽,虎膽",63,122,20.6,3.8,1,1.2,9
J0405201,魚貝類,斑點九刺鮨(去皮),"樣品狀態:生,已去鱗片及內臟; 前處理描述:去皮,去頭尾及骨刺,混合均勻打碎","眼斑鱠,過魚,石斑,油鱠,青貓,黑鱠僅,黑鱠仔(澎湖) ",59,82,18.8,0.2,,0.9,
J0405301,魚貝類,斑點九刺鮨(含皮),"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎","眼斑鱠,過魚,石斑,油鱠,青貓,黑鱠僅,黑鱠仔(澎湖) ",69,84,19.4,0.1,0.1,0,
J0405401,魚貝類,棕點石斑魚,"樣品狀態:生,已去鱗片及內臟; 前處理描述:去皮,去頭尾及骨刺,混合均勻打碎","老虎斑,過魚",60,115,19.1,3.7,1.4,0,
J0405501,魚貝類,鞍帶石斑魚片,樣品狀態:生; 前處理描述:混合均勻打碎,"龍膽石斑,過魚,槍頭石斑魚,倒吞鱟,鴛鴦鱠,龍躉(香港) ",,155,19.1,8.2,2.9,0.2,
J0405601,魚貝類,駝背鱸,"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎","老鼠斑,鰵魚,烏丸稅,尖嘴鱠仔,觀音鱠,斟鰻鱠(澎湖)",59,83,18.1,0.6,0.3,0,
J0405701,魚貝類,橫紋九刺鮨,"樣品狀態:生,已去鱗及內臟; 前處理描述:去皮,去頭尾及骨刺,混合均勻打碎","橫帶鱠,過魚,石斑,黑貓仔,黑絲貓,竹鱠仔,黑青貓仔(澎湖),烏絲(香港) ",63,85,19.3,0.3,0.1,0,
J0405801,魚貝類,大口黑鱸,"樣品狀態:生,已去鱗及內臟; 前處理描述:去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎","黑鱸,加州鱸,淡水鱸",47,130,20.7,4.6,1.2,0,
J0405901,魚貝類,日本紅目大眼鯛,"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,內臟及骨刺,混合均勻打碎","紅目鰱,嚴公仔,大目仔(臺東),紅目孔(澎湖),嚴公舅(澎湖) ",60,97,19.6,1.5,0.5,0,
J0406001,魚貝類,血斑異大眼鯛,"樣品狀態:生; 前處理描述:去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎","紅目鰱,嚴公仔",66,93,20.6,0.6,0.2,0,
J0406101,魚貝類,多鱗沙鮻,"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎","沙腸仔,kiss 魚",46,90,18.6,1.2,0.5,0.6,
J0406201,魚貝類,日本馬頭魚,"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎","馬頭,方頭魚,吧唄,紅尾,吧口弄,紅馬頭,紅甘鯛 ",60,85,18.7,0.6,0.2,0,
J0406301,魚貝類,白馬頭魚,"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎","馬頭,方頭魚,馬頭,方頭魚,白馬頭,拉崙(澎湖),白甘鯛 ",68,91,19.2,1,0.4,0.1,
J0406401,魚貝類,鬼頭刀魚片,樣品狀態:生; 前處理描述:混合均勻打碎,"鱰魚,萬魚,飛烏虎,鬼頭刀(臺東),鱰,萬引,扁頭刀(澎湖),九萬仔(澎湖)",,78,17.2,0.5,0.2,0,
J0406501,魚貝類,鬼頭刀,"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎","鱰魚,萬魚,飛烏虎,鬼頭刀(臺東),鱰,萬引,扁頭刀(澎湖),九萬仔(澎湖)",55,107,21.8,1.5,0.5,0,
J0406601,魚貝類,海鱺,"樣品狀態:生; 前處理描述:去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎","海麗仔,軍曹魚,海龍魚,黑魽,海麗(臺東),海魚戾魚,錫臘白,海鱺/鱺魚/紅目鱺(澎湖) ",54,106,20.4,2.1,1.1,0,
J0406602,魚貝類,海鱺魚片,"樣品狀態:生; 前處理描述:去皮及骨刺,混合均勻打碎","海麗仔,軍曹魚,海龍魚,黑魽,海麗(臺東),海魚戾魚,錫臘白,海鱺/鱺魚/紅目鱺(澎湖) ",35,264,19.3,20.1,7.2,0,29
J0406701,魚貝類,大口逆鈎鰺,"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎","七星仔,棘蔥仔,鬼平,龜濱,龜柄,油面仔(臺東),歸秉/龜秉/肥柄(澎湖)",53,103,21.8,1.1,0.5,0.1,
J0406801,魚貝類,大甲鰺,"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎","鐵甲,扁甲,大目巴攏,大甲鰺",55,105,21.2,1.6,0.7,0.4,
J0406901,魚貝類,日本竹筴魚,"樣品狀態:生; 前處理描述:去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎","巴攏,竹莢魚,瓜仔魚,真鰺,巴蘭,瓜魚,巴弄/硬尾(澎湖),黑尾",52,116,23,2,0.7,0,
J0407001,魚貝類,布氏鯧鰺(去皮),"樣品狀態:生; 前處理描述:去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎","金槍,金鯧,紅杉,紅沙瓜仔,長鰭黃臘鰺,甘仔魚(臺東),紅紗(澎湖) ",56,192,20.3,11.7,4,0,
J0407101,魚貝類,布氏鯧鰺(含皮),"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎","金槍,金鯧,紅杉,紅沙瓜仔,長鰭黃臘鰺,甘仔魚(臺東),紅紗(澎湖)",38,190,17.5,12.8,5.5,0,
J0407201,魚貝類,杜氏鰤,"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎","紅甘,紅甘鰺,竹午,汕午,紅頭午 ",42,115,21.9,2.4,0.9,0.2,
J0407202,魚貝類,長鰭鰤魚,"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎,","油甘,黃尾鰺,甘仔,扁午,扁甘,柴魽",56,114,22.8,1.9,0.9,2.7,0
J0407301,魚貝類,范氏副葉鰺,"樣品狀態:生,已去鱗及內臟; 前處理描述:去皮,去頭尾,去骨刺,混合均勻打碎",甘仔魚,52,108,20.9,2.1,1,2.1,
J0407401,魚貝類,泰勃圓鰺,"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎",硬尾,57,113,22.8,1.7,0.6,1.4,
J0407501,魚貝類,烏鯧,"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎","烏昌,三角昌,昌鼠魚,黑鯧,暗鯧,黑鰭,燕尾鯧",41,94,20.4,0.8,0.4,0,2
J0407601,魚貝類,無斑圓鰺,"樣品狀態:生; 前處理描述:去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎","紅瓜魚,巴攏,紅扁鰺,赤尾仔(臺東),赤尾,馬尾冬,紅瓜鰺,紅尾巴弄(澎湖) ",56,119,23.9,1.9,0.7,0,
J0407701,魚貝類,藍圓鰺,"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎","硬尾,廣仔,甘廣,四破,巴攏,金鼓,吧弄,巴弄/孔仔(澎湖)",49,114,24,1.3,0.5,0,
J0407801,魚貝類,雙帶鰺,"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎","海草,拉侖,拉崙/柴魚/青甘(澎湖)",39,118,22.6,2.4,1,0,
J0407901,魚貝類,眼眶魚,"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎","皮刀,眼眶魚,庖刀魚,皮鞋刀,菜刀魚,剃頭刀(澎湖)",57,113,20.3,2.9,1.3,0.2,
J0408001,魚貝類,斯氏長鰭烏魴,"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎","深海三角仔,黑飛刀,黑皮刀,三角仔(臺東),大鱗烏鯧(澎湖) ",60,97,22.4,0.1,0,0,
J0408101,魚貝類,史氏紅諧魚,"樣品狀態:生,已去鱗及內臟; 前處理描述:去皮,去頭尾,骨刺,混合均勻打碎","紅鰱魚,紅肉欉仔,紅嘴唇仔,紅唇仔,紅魚仔,白肉蒜,紅肉蒜",50,97,21.1,0.7,0.2,0,
J0408201,魚貝類,希氏姬鯛,"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎","鎖吾,散午,紅魚仔,紅臭魚仔,紅臭魚(臺東),白肉蒜",52,91,21.1,0.1,0,0.5,
J0408301,魚貝類,赤鰭笛鯛,"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎","紅雞仔,赤海雞,赤筆仔(臺東),赤筆,赤海,紅魚,紅鰭赤海/鐵汕婆(澎湖) ",55,88,20.4,0.1,,0,
J0408401,魚貝類,孟加拉笛鯛,"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎","赤筆仔,黃雞母(澎湖)",65,87,19.8,0.3,0.1,0,
J0408501,魚貝類,前鱗笛鯛,"樣品狀態:生,已去鱗及內臟; 前處理描述:去皮,去頭尾,去骨刺,混合均勻打碎",赤筆仔,51,101,22,0.8,0.4,0.9,
J0408601,魚貝類,馬拉巴笛鯛,"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎","赤海,赤筆仔",68,86,20.2,0,0,0,
J0408701,魚貝類,單斑笛鯛,"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎","點記,黑點仔,黃翅,赤筆仔,點誌仔,龍王(臺東) ",59,106,20.7,1.9,0.8,0,
J0408801,魚貝類,黃擬烏尾鮗,"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎","黃雞仔,包公雞,貢仔,黃腳佳仔,黃加甲(臺東),烏尾冬/青雞仔(澎湖)",59,80,18.7,0.1,0,0.3,
J0408901,魚貝類,葉唇笛鯛,"樣品狀態:生; 前處理描述:去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎","厚唇仔,紅魚",64,118,19.9,3.7,1.7,0,
J0409001,魚貝類,松鯛,"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎","打鐵婆,枯葉,石鯽,睡魚,庫羅黛,睏魚,海南洋仔,南洋鱸魚,海吳郭,流魚/柴魚/打鐵鱸(澎湖)",47,98,18.2,2.3,1,0.1,
J0409101,魚貝類,三線磯鱸,"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎","三線雞魚,黃雞仔,雞仔魚,番仔加誌,黃公仔魚,黃雞魚,三爪仔,雞魚(澎湖),青筆",51,130,19,5.4,2.3,0.6,
J0409201,魚貝類,星雞魚,"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎","雞仔魚,石鱸,厚鱸,頭額/金龍/刣額(澎湖) ",60,99,20.6,1.2,0.5,0.4,
J0409301,魚貝類,密點少棘胡椒鯛,"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎","雞仔魚,加志,少棘石鱸,圭誌/烏嘉誌(澎湖) ",61,94,19.5,1.2,0.5,0,
J0409401,魚貝類,金線魚,"樣品狀態:生; 前處理描述:去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎","金線鰱,黃線,紅杉",57,119,20.9,3.3,1.5,0,
J0409501,魚貝類,青嘴龍占魚,"樣品狀態:生,已去鱗片及內臟; 前處理描述:去皮,去頭尾及骨刺,混合均勻打碎","龍尖,龍占,青嘴仔,青嘴/尖嘴仔(澎湖)",54,128,22.7,3.4,1.2,0,
J0409601,魚貝類,網紋龍占魚,"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎","龍尖,龍占(臺東)",51,101,21.7,1,0.4,0,
J0409701,魚貝類,平鯛,"樣品狀態:生(養殖),已去鱗片及內臟; 前處理描述:去頭尾及骨刺,混合均勻打碎","黃錫鯛,枋頭,邦頭/枋頭/白嘉鱲(澎湖)",51,158,21,7.6,1.9,0.5,0
J0409801,魚貝類,阿部牙鯛,"樣品狀態:生; 前處理描述:去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎","赤鯮,阿部赤鯮",68,124,18.9,4.8,1.9,0,
J04099,魚貝類,真鯛平均值(去皮),"樣品狀態:生; 前處理描述:去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎","嘉鱲魚,正鯛,加臘,加蚋,加魶,真鯛,加幾魚,銅盆魚,棘鬣魚  ",62,110,20.6,2.5,0.9,0.2,
J0409901,魚貝類,真鯛(1月),"樣品狀態:生; 前處理描述:去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎","嘉鱲魚,正鯛,加臘,加蚋,加魶,真鯛,加幾魚,銅盆魚,棘鬣魚  ",64,100,20.1,1.6,0.6,0.7,
J0409902,魚貝類,真鯛(3月),"樣品狀態:生; 前處理描述:去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎","嘉鱲魚,正鯛,加臘,加蚋,加魶,真鯛,加幾魚,銅盆魚,棘鬣魚  ",66,101,20.8,1.3,0.5,0.7,
J0409903,魚貝類,真鯛(5月),"樣品狀態:生; 前處理描述:去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎","嘉鱲魚,正鯛,加臘,加蚋,加魶,真鯛,加幾魚,銅盆魚,棘鬣魚  ",61,87,20,0.1,0.1,0,
J0409904,魚貝類,真鯛(8月),"樣品狀態:生; 前處理描述:去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎","嘉鱲魚,正鯛,加臘,加蚋,加魶,真鯛,加幾魚,銅盆魚,棘鬣魚  ",60,176,20.6,9.8,4,1.7,
J0409905,魚貝類,真鯛(9月),"樣品狀態:生; 前處理描述:去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎","嘉鱲魚,正鯛,加臘,加蚋,加魶,真鯛,加幾魚,銅盆魚,棘鬣魚  ",55,92,21.6,0,,0,
J0409906,魚貝類,真鯛(11月),"樣品狀態:生; 前處理描述:去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎","嘉鱲魚,正鯛,加臘,加蚋,加魶,真鯛,加幾魚,銅盆魚,棘鬣魚  ",64,105,20.3,2,0.8,0,
J0410001,魚貝類,黃鰭棘鯛,"樣品狀態:生; 前處理描述:去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎","黃鰭鯛,黃鰭,赤翅仔,赤翅,花身,鏡鯛 ",61,136,19.2,6,1.9,0.6,
J0410101,魚貝類,黑棘鯛(去皮),"樣品狀態:生; 前處理描述:去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎","黑鯛,烏格,黑格,厚唇,烏毛,烏鱠,黑頰(澎湖)",60,136,20.3,5.5,1.6,0.6,
J0410201,魚貝類,黑棘鯛(含皮),"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎","黑鯛,烏格,黑格,厚唇,烏毛,烏鱠,黑頰(澎湖)",51,165,19.5,9,2.5,0,58
J0410301,魚貝類,多鱗四指馬鮁,"樣品狀態:生; 前處理描述:去鱗,含皮,去頭尾,去內臟及骨刺,混合均勻打碎","四絲馬鮁,四指馬鮁,竹午,大午,午仔,鬚午仔/發鬚午仔(澎湖)",47,146,19,7.2,2.6,0,
J0410401,魚貝類,大黃魚,"樣品狀態:生; 前處理描述:去鱗,去皮,去頭尾,去內臟及骨刺,混合均勻打碎","黃魚,黃瓜,黃花魚,黃口,火口,大黃花",65,142,16.8,7.8,2.9,0.2,
